query_product,query_leaf_category,precision@5,recall,average_precision
Aaradhi Divya Mantra Blue Chalcedony Gemstone For Positive Energy Chalcedony Stone Necklace,necklaces,1.0,0.003961965134706815,1.0
OK Platinum Large Kadhai 2 L,woks kadhais,1.0,0.06944444444444445,1.0
Northern Lights Striped Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Mochi Women Flats,flats,1.0,0.06097560975609756,1.0
Oviyon Printed Men's V-neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Generix OTG for Blackberry Priv OTG Cable,otg blackberry priv otg cable white,1.0,0.005720823798627002,1.0
Accessory Mart MSC Car Mat Maruti Celerio,car mats,1.0,0.01160092807424594,1.0
Cation Casual Sleeveless Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Karatcraft Perennial Love Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Allen Solly Girl's Shift Dress,dresses,1.0,0.013966480446927373,1.0
HugMe.fashion Full Sleeve Striped Men's Jacket,sleeve striped men jacket,1.0,0.0010113268608414239,1.0
C9 Checkered Women's V-neck Blue T-Shirt,checkered women neck blue shirt,1.0,0.0010113268608414239,1.0
Olvin Wayfarer Sunglasses,wayfarer sunglasses,0.6,1.0,1.0
Mactree Sane Bait Slip On,sane bait slip,1.0,0.0049504950495049506,1.0
Salt N Pepper 13-019 Femme Taupe Boots Boots,boots,1.0,0.05,1.0
Prithish Miracles Happen Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Trinketbag Talk Of The Town Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
The Museum Outlet Alloy Bracelet,bracelets,1.0,0.02577319587628866,1.0
Zidane 503TF_BLK Wireless Bluetooth Headset,503tf blk wireless bluetooth headset black,1.0,0.1724137931034483,1.0
Status Quo Men's Solid Casual Shirt,casual party wear shirts,1.0,0.1282051282051282,1.0
"SFDS Casual, Formal, Party Sleeveless Self Design Women's Top",tops,1.0,0.015015015015015015,1.0
Sovam International Marble Elephant Pair Showpiece  -  5 cm,ethnic,1.0,0.038461538461538464,1.0
AMY Karena Kapoor in Green Saree A5 Notebook Spiral Bound,office supplies,1.0,0.23809523809523808,1.0
Leoxsys Leo-300n-R1,routers,1.0,0.032679738562091505,1.0
BrandTrendz Cotton Solid Patiala,cotton solid patiala,1.0,1.0,1.0
Eccellente LPLFLWR3BK Cotton Sliding Pin Shirt Stud,lplflwr3bk cotton sliding pin shirt,1.0,0.0010113268608414239,1.0
PRINT SHAPES doraemon Laptop Skin with Mouse pad Combo Set,doraemon laptop skin mouse pad,1.0,0.011013215859030838,1.0
TheLostPuppy Back Cover for Apple iPad Air 2,cases covers,1.0,0.007886435331230283,1.0
FashBlush Forever Beautiful Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
